requestedUrl,finalUrl,category,name,title,type,score
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","performance-score","Overall Performance Category Score","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.98"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","interactive","Time to Interactive","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","speed-index","Speed Index","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.94"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","unminified-css","Minify CSS","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","0.47"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.9"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","bootup-time","JavaScript execution time","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","third-party-summary","Minimize third-party usage","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","lcp-lazy-loaded","Largest Contentful Paint image was not lazily loaded","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","layout-shift-elements","Avoid large layout shifts","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","no-unload-listeners","Avoids `unload` event listeners","binary","1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","performance-budget","Performance budget","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","timing-budget","Timing budget","notApplicable","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","network-requests","Network Requests","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","diagnostics","Diagnostics","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","metrics","Metrics","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://cv.johanedlund.se/","https://cv.johanedlund.se/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
